Meme,Data,Mes,Confiança,Coragem,Bondade,Justiça,Humildade,Gratidão,Família
IMG-20200606-WA0026.jpg,2020-06-06,junho,1,0,0,0,0,0,0
IMG-20200606-WA0028.jpg,2020-06-06,junho,0,0,0,0,0,0,0
IMG-20200606-WA0030.jpg,2020-06-06,junho,0,0,0,0,0,0,0
IMG-20200606-WA0143.jpg,2020-06-06,junho,1,0,0,0,0,0,0
IMG-20200607-WA0020.jpg,2020-06-07,junho,0,0,0,0,0,0,0
IMG-20200608-WA0009.jpg,2020-06-08,junho,1,0,1,0,0,0,0
IMG-20200608-WA0012.jpg,2020-06-08,junho,0,0,0,0,0,0,0
IMG-20200608-WA0014.jpg,2020-06-08,junho,1,0,0,0,0,0,0
IMG-20200608-WA0025.jpg,2020-06-08,junho,1,1,0,0,0,0,0
IMG-20200608-WA0026.jpg,2020-06-08,junho,0,0,0,0,0,0,0
IMG-20200608-WA0088.jpg,2020-06-08,junho,0,0,0,0,0,0,0
IMG-20200609-WA0181.jpg,2020-06-09,junho,0,0,1,0,0,0,0
IMG-20200612-WA0000.jpg,2020-06-12,junho,0,0,0,0,0,0,0
IMG-20200612-WA0001.jpg,2020-06-12,junho,0,1,0,0,0,0,0
IMG-20200612-WA0008.jpg,2020-06-12,junho,1,0,0,0,0,0,0
IMG-20200613-WA0066.jpg,2020-06-13,junho,0,0,0,0,0,1,0
IMG-20200614-WA0113.jpg,2020-06-14,junho,0,0,0,0,0,0,0
IMG-20200615-WA0016.jpg,2020-06-15,junho,0,0,0,0,0,0,1
IMG-20200616-WA0016.jpg,2020-06-16,junho,1,0,0,0,0,0,1
IMG-20200617-WA0060.jpg,2020-06-17,junho,0,1,0,0,0,0,0
IMG-20200618-WA0018.jpg,2020-06-18,junho,0,0,0,0,0,0,0
IMG-20200618-WA0033.jpg,2020-06-18,junho,1,0,0,0,0,0,0
IMG-20200619-WA0016.jpg,2020-06-19,junho,1,0,0,0,0,0,0
IMG-20200619-WA0036.jpg,2020-06-19,junho,0,0,0,0,0,0,0
IMG-20200620-WA0011.jpg,2020-06-20,junho,0,0,1,0,0,0,0
IMG-20200621-WA0012.jpg,2020-06-21,junho,0,0,0,0,0,0,0
IMG-20200621-WA0034.jpg,2020-06-21,junho,0,0,0,0,0,0,0
