Meme,Confiança/Entrega/Proteção,Coragem,Bondade/Caridade,Justiça/Honestidade,Humildade,Gratidão,Família,Religião,Nacionalismo,Meritocracia,Corrupção,Líder pol,Negro,Mulher,Obs
IMG-20200521-WA0072.jpg,1,1,0,0,0,0,0,1,0,0,0,0,0,0,Motivos florais
IMG-20200521-WA0105.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Café
IMG-20200521-WA0185.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Motivos Florais
IMG-20200521-WA0284.jpg,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Motivos florais
IMG-20200522-WA0043.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Motivos florais/Borboletas
IMG-20200522-WA0045.jpg,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Motivos florais
IMG-20200522-WA0065.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Desenho de menino e menina se abraçando
IMG-20200523-WA0108.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Motivos florais
IMG-20200524-WA0038.jpg,1,0,1,0,0,0,0,1,0,0,0,0,0,0,Estrada
IMG-20200524-WA0041.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Campo e sol
IMG-20200527-WA0040.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Motivos florais 
IMG-20200527-WA0046.jpg,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Motivos florais/Bicicleta
IMG-20200527-WA0053.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,1,Menina
IMG-20200527-WA0062.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Pergaminho
IMG-20200527-WA0063.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,1,Menina em árvore (mulheres que oram)
IMG-20200527-WA0066.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Menina com flor / sorrir com os olhos
IMG-20200527-WA0234.jpg,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Motivos florais/Bicicleta
IMG-20200528-WA0046.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Coração/Joaninha/Trigo
IMG-20200529-WA0022.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Motivos florais/coração/café
IMG-20200529-WA0209.jpg,1,0,0,0,0,1,0,1,0,0,0,0,0,0,Motivos Florais
IMG-20200530-WA0087.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Motivos florais/café/pássaro
IMG-20200530-WA0088.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Motivos florais/coração/borboleta
IMG-20200601-WA0000.jpg,1,0,0,0,0,0,0,1,0,1,0,0,0,0,Motivos florais/café
IMG-20200601-WA0030.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Cisne/Borboleta/Coração
IMG-20200601-WA0109.jpg,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Motivos florais
IMG-20200602-WA0229.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Paisagem Bucólica
IMG-20200604-WA0038.jpg,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Motivos florais
IMG-20200604-WA0197.jpg,1,0,0,0,0,0,1,1,0,0,0,0,0,0,Motivos Florais/Pombas
IMG-20200604-WA0198.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Coração
IMG-20200605-WA0036.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Motivos florais
IMG-20200605-WA0039.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Motivos Florais
IMG-20200605-WA0040.jpg,1,0,1,0,0,0,0,1,0,0,0,0,0,0,Motivos florais
IMG-20200606-WA0026.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,1,Menina loira orando/flor/borboleta
IMG-20200606-WA0028.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Motivos florais
IMG-20200606-WA0030.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Menina na árvore/barcos
IMG-20200606-WA0143.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Lago/Árvores
IMG-20200607-WA0020.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Menina com macaquinho
IMG-20200608-WA0009.jpg,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Joaninha/Borboleta
IMG-20200608-WA0012.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Motivos Florais/Borboletas
IMG-20200608-WA0014.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Livro
IMG-20200608-WA0025.jpg,1,1,0,0,0,0,0,1,0,0,0,0,0,0,Motivos florais/Gato
IMG-20200608-WA0026.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Motivos florais
IMG-20200608-WA0088.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Motivos florais
IMG-20200609-WA0181.jpg,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Motivos florais
IMG-20200612-WA0000.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Ostensório/pomba/flor
IMG-20200612-WA0001.jpg,0,1,0,0,0,0,0,0,1,0,0,1,0,0,Bandeira/Bolsonaro
IMG-20200612-WA0008.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Motivos florais/café
IMG-20200613-WA0066.jpg,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Motivos florais 
IMG-20200614-WA0113.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Motivos florais
IMG-20200615-WA0016.jpg,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Motivos florais/café/borboletas
IMG-20200616-WA0016.jpg,1,0,0,0,0,0,1,1,0,0,0,0,0,0,Pomba/fogo/estrelas
IMG-20200617-WA0060.jpg,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Menino (loirinho e mauricinho pobre)
IMG-20200618-WA0018.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Menina Feliz
IMG-20200618-WA0033.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Soldado/Inimigo/Livramento
IMG-20200619-WA0016.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Motivos florais/coração/borboleta
IMG-20200619-WA0036.jpg,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Menina feliz
IMG-20200620-WA0011.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Coração
IMG-20200621-WA0012.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Por do sol
IMG-20200621-WA0034.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Motivos florais/café
IMG-20200623-WA0030.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Motivos florais/praia
IMG-20200623-WA0196.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Motivos florais/Livro
IMG-20200624-WA0023.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ursos e Corações
IMG-20200624-WA0030.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Turma da Monica Festa Junina
IMG-20200625-WA0077.jpg,0,1,0,0,0,0,0,1,0,1,0,0,0,0,Águia / Soldado
IMG-20200625-WA0123.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Motivos florais
IMG-20200625-WA0125.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,1,Menina feliz
IMG-20200626-WA0033.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Pôr do sol
IMG-20200626-WA0127.jpg,1,0,0,0,0,0,1,1,0,0,0,0,0,0,Pergaminho
IMG-20200626-WA0150.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pássaros
IMG-20200626-WA0152.jpg,0,1,0,0,0,0,0,1,0,1,0,0,0,0,Paisagem
IMG-20200626-WA0161.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Pôr do sol
IMG-20200626-WA0170.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Rosa
IMG-20200627-WA0107.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Paisagem
IMG-20200627-WA0113.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,1,Menina em caverna
IMG-20200627-WA0151.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Abelha
IMG-20200630-WA0025.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Flores e xícara
IMG-20200630-WA0077.jpg,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Sol
IMG-20200701-WA0111.jpg,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Pássaro
IMG-20200701-WA0137.jpg,1,0,0,0,0,0,0,1,0,1,0,0,0,0,Mão
IMG-20200702-WA0062.jpg,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Flores
IMG-20200702-WA0082.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Mãos
IMG-20200703-WA0090.jpg,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Barquinho de papel
IMG-20200703-WA0096.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Motivos florais
IMG-20200703-WA0246.jpg,1,1,0,0,0,0,0,1,0,0,0,0,0,0,Pôr do sol e árvore seca
IMG-20200703-WA0313.jpg,1,1,0,0,0,0,0,1,0,0,0,0,0,0,Árvore seca
IMG-20200704-WA0022.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Notação musical
IMG-20200704-WA0048.jpg,1,0,0,0,0,1,0,1,0,0,0,0,0,0,Motivos florais
IMG-20200705-WA0082.jpg,1,0,0,0,0,0,1,1,0,0,0,0,0,0,Mãos
IMG-20200705-WA0202.jpg,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Luar
IMG-20200706-WA0040.jpg,0,1,0,0,0,0,0,1,0,1,0,0,0,0,Corações/Flores
IMG-20200706-WA0041.jpg,1,0,0,0,0,1,0,1,0,0,0,0,0,0,Motivos florais
IMG-20200706-WA0043.jpg,1,1,0,0,0,0,0,1,0,0,0,0,0,0,Braços dados com Deus
IMG-20200706-WA0085.jpg,0,1,0,0,0,0,0,1,0,1,0,0,0,0,Motivos florais
IMG-20200707-WA0026.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Flores
IMG-20200707-WA0070.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Paisagem
IMG-20200708-WA0020.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Pôr do sol na rua
IMG-20200709-WA0018.jpg,1,0,0,0,0,1,0,1,0,0,0,0,0,1,Menina feliz
IMG-20200710-WA0012.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Motivos florais
IMG-20200710-WA0013.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Menina feliz
IMG-20200710-WA0044.jpg,1,0,1,0,0,0,1,1,0,0,0,0,0,0,Pomba/rosas
IMG-20200711-WA0082.jpg,1,0,0,0,0,0,1,1,0,0,0,0,0,0,Mãos dadas
IMG-20200711-WA0085.jpg,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Xícaras
IMG-20200711-WA0100.jpg,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Corações e flor
IMG-20200711-WA0103.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Motivos florais
IMG-20200712-WA0042.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Girassol
IMG-20200712-WA0067.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Motivos florais
IMG-20200713-WA0040.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Bebê
IMG-20200713-WA0043.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Pôr do sol
IMG-20200715-WA0216.jpg,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Motivos florais
IMG-20200715-WA0217.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Flores e xícaras
IMG-20200716-WA0023.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Cão
IMG-20200717-WA0020.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Pássaro
IMG-20200717-WA0021.jpg,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Motivos florais
IMG-20200718-WA0018.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Flor e xícara
IMG-20200719-WA0020.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Mãos
